epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
11,0.5960248708724976,0.8977132439613342,0.9078065156936646,0.3813319206237793,0.9514248371124268,0.65625,0.8839285969734192,0.8705357313156128,0.5586428642272949,0.9245535731315613
12,0.6016523241996765,0.8926365971565247,0.8870929479598999,0.3895002603530884,0.9480245113372803,0.6517857313156128,0.8830356597900391,0.8794642686843872,0.5506008863449097,0.9263392686843872
13,0.6154214143753052,0.9040709733963013,0.9137930870056152,0.3548906147480011,0.953304648399353,0.6517857313156128,0.8857142329216003,0.8794642686843872,0.5424278974533081,0.9267856478691101
14,0.6200910210609436,0.9036757946014404,0.9137930870056152,0.3459925949573517,0.9548731446266174,0.65625,0.8866071105003357,0.875,0.5438981056213379,0.9290178418159485
15,0.6302682161331177,0.9081896543502808,0.9183429479598999,0.334722101688385,0.9572798013687134,0.6607142686843872,0.8870535492897034,0.8794642686843872,0.5393970012664795,0.9285714030265808
16,0.6126676201820374,0.9019874930381775,0.9080460071563721,0.3416065573692322,0.9560344815254211,0.6651785969734192,0.8870535492897034,0.875,0.5406994819641113,0.9290179014205933
17,0.6482279300689697,0.9101771712303162,0.9179837703704834,0.3177437484264374,0.957148015499115,0.6741071343421936,0.8883928656578064,0.875,0.5453231334686279,0.9299107193946838
18,0.6554118990898132,0.9114941954612732,0.9433668851852417,0.3107606768608093,0.9597700238227844,0.6741071343421936,0.8888392448425293,0.875,0.5514631271362305,0.9294642806053162
19,0.6512212157249451,0.9108716249465942,0.9269636273384094,0.3114109933376312,0.9589439630508423,0.6741071343421936,0.8883928656578064,0.8839285969734192,0.5517918467521667,0.9303570985794067
20,0.6342193484306335,0.9129669666290283,0.920258641242981,0.29857751727104187,0.9635297060012817,0.6741071343421936,0.889285683631897,0.8883928656578064,0.54822838306427,0.9294642210006714
21,0.6471503973007202,0.9166547656059265,0.9388170838356018,0.2954723536968231,0.9609076380729675,0.6785714030265808,0.8897320628166199,0.8839285969734192,0.5506883859634399,0.9312499761581421
22,0.6843869686126709,0.9214080572128296,0.9321120977401733,0.26413971185684204,0.9684147238731384,0.6830357313156128,0.8915178179740906,0.8839285969734192,0.5524054765701294,0.9303570985794067
23,0.6703783273696899,0.9188697934150696,0.9342672228813171,0.2790902256965637,0.968366801738739,0.6785714030265808,0.8924106955528259,0.8839285969734192,0.5500478744506836,0.9285714030265808
24,0.6890565156936646,0.9221383929252625,0.9331896305084229,0.26597097516059875,0.966163694858551,0.6785714030265808,0.8941963911056519,0.8839285969734192,0.5517047643661499,0.9290179014205933
25,0.6551724076271057,0.9226052761077881,0.9345067143440247,0.2583695352077484,0.9674928188323975,0.6741071343421936,0.893750011920929,0.8839285969734192,0.5539173483848572,0.9299107193946838
26,0.6515803933143616,0.9196359515190125,0.9331896305084229,0.2653469443321228,0.9675526022911072,0.6741071343421936,0.8928571343421936,0.8794642686843872,0.5527723431587219,0.9312500357627869
27,0.6878591775894165,0.9256225824356079,0.9539032578468323,0.24396932125091553,0.9692649245262146,0.6785714030265808,0.893750011920929,0.8883928656578064,0.5562891960144043,0.9321428537368774
28,0.6870210766792297,0.9306274056434631,0.9562979340553284,0.23480400443077087,0.9720783829689026,0.6741071343421936,0.8924107551574707,0.8883928656578064,0.5630061030387878,0.9334821701049805
29,0.681034505367279,0.9275503754615784,0.9485153555870056,0.24132555723190308,0.972270131111145,0.6651785969734192,0.8928570747375488,0.8883928656578064,0.5698087811470032,0.9334821105003357
30,0.6932471990585327,0.9275143146514893,0.943965494632721,0.24898049235343933,0.9673491716384888,0.65625,0.8924106955528259,0.8839285969734192,0.5722904205322266,0.9339285492897034
31,0.6843869686126709,0.9292145371437073,0.9506704807281494,0.22908563911914825,0.9717792868614197,0.6651785969734192,0.8919642567634583,0.8839285969734192,0.5728705525398254,0.9334821105003357
32,0.694683849811554,0.9294301271438599,0.9530651569366455,0.2351507991552353,0.9696360230445862,0.6651785969734192,0.890625,0.8839285969734192,0.5753307938575745,0.9339285492897034
33,0.704023003578186,0.9319685697555542,0.9465996026992798,0.22211146354675293,0.9725095629692078,0.6607142686843872,0.8924107551574707,0.8883928656578064,0.5761207342147827,0.9325893521308899
34,0.7244971990585327,0.9372965097427368,0.9517480731010437,0.20275311172008514,0.9771311283111572,0.6651785969734192,0.8937498927116394,0.8883928656578064,0.5744680762290955,0.9325893521308899
35,0.7153975367546082,0.9357399940490723,0.9571360349655151,0.21449267864227295,0.9753352403640747,0.6651785969734192,0.893750011920929,0.8883928656578064,0.5753545761108398,0.9330357909202576
36,0.7048611044883728,0.9337044954299927,0.946360170841217,0.23078590631484985,0.9721145033836365,0.65625,0.891964316368103,0.8883928656578064,0.5742269158363342,0.933035671710968
37,0.7023467421531677,0.93550044298172,0.9592912197113037,0.20767724514007568,0.9784483313560486,0.6607142686843872,0.893750011920929,0.8883928656578064,0.5772659778594971,0.9334821105003357
